Comune;Provincia;Regione;Intervento;Lotto;Norma di riferimento;Tipo di dissesto;Posizione;Denominazione;Localit�;Ente attuatore;Comune primario;Importo finanziato;Nota importo finanziato;Importo lotto;Fase di attuazione;;;;;;;;;;;;;;;;
CITTA' DI CASTELLO;PERUGIA;Umbria;520/02;1;D.L.180/98;Alluvione;Centroide;Contenimento esondazione Fosso Scatorbia.;Area urbana.;Comune - CITTAs DI CASTELLO;CITTAe DI CASTELLO;0.00;;0.00;definanziati o sostitutivi;;;;;;;;;;;;;;;;
CITTA' DI CASTELLO;PERUGIA;Umbria;521/02;1;D.L.180/98;Alluvione;Georiferito;Contenimento esondazione Fiume Tevere.;Promano.;Provincia - Perugia;CITTAn DI CASTELLO;774685.00;;774685.00;concluso;;;;;;;;;;;;;;;;
COLLAZZONE;PERUGIA;Umbria;018/02;1;D.L.180/98;Frana;Georiferito;COMPLETAMENTO DELL'INTERVENTO DI SISTEMAZIONE DI UNO SCIVOLAMENTO TRASLATIVO SU DEPOSITI FLUVIO LACUSTRI;PIEDICOLLE;Comune - COLLAZZONE;COLLAZZONE;645571.12;;645571.00;concluso;;;;;;;;;;;;;;;;
COLLAZZONE;PERUGIA;Umbria;PG007A/10;70;AP 2010-11;Alluvione;Centroide;Interventi di ripristino officiosito idraulica e taglio della vegetazione ripariale e realizzazione opere longitudinali e trasversali sul torr. Puglia nei Comuni di Giano dell?Umbria, Gualdo Cattaneo e Collazzone;Bastardo;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;50000.00;in esecuzione;;;;;;;;;;;;;;;;
CORCIANO;PERUGIA;Umbria;144/09;1;D.L.180/98;Alluvione;Georiferito;Interventi di manutenzione ordinaria e straordinaria sui principali corsi d'acqua classificati e non classificati;Comune di Corciano, t.te Caina;Comune - CORCIANO;PERUGIA;1000000.00;;340438.99;concluso;;;;;;;;;;;;;;;;
CORCIANO;PERUGIA;Umbria;144/09;4;D.L.180/98;Alluvione;Georiferito;Interventi di manutenzione ordinaria e straordinaria sui principali corsi d'acqua classificati e non classificati;Corciano, F.ssi formanova e Bulagaio;Comune - CORCIANO;PERUGIA;0.00;vedi lotto 1;71747.36;concluso;;;;;;;;;;;;;;;;
CORCIANO;PERUGIA;Umbria;144/09;6;D.L.180/98;Alluvione;Georiferito;Interventi di manutenzione ordinaria e straordinaria sui principali corsi dtacqua classificati e non classificati;t.nte Caina in loc. Maestrello e Mantignana;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;50000.00;concluso;;;;;;;;;;;;;;;;
CORCIANO;PERUGIA;Umbria;PG007A/10;10;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamentoTorrente Caina e fosso Rigo loc. Solomeo;comune di Corciano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;20057.76;concluso;;;;;;;;;;;;;;;;
CORCIANO;PERUGIA;Umbria;PG007A/10;48;AP 2010-11;Alluvione;Centroide;Manutenzione sul bacino del torrente Caina in Comune di Corciano e Perugia;comune di Corciano e Perugia;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;55000.00;in esecuzione;;;;;;;;;;;;;;;;
CORCIANO;PERUGIA;Umbria;PG007A/10;71;AP 2010-11;Alluvione;Centroide;Manutenzione ordinaria e straordinaria nel bacino dei Torrenti Caina, Formanova e Genna nei Comuni di Magione, Corciano e Perugia;Magione, Corciano e Perugia;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;101762.64;da avviare o dati non comunicati;;;;;;;;;;;;;;;;
DERUTA;PERUGIA;Umbria;021/02;1;D.L.180/98;Alluvione;Georiferito;SISTEMAZIONE D'ALVEO CON BRIGLIE E DIFESE SPONDALI;FIUME TEVERE - LOCALITO DERUTA E MAD. DEI BAGNI;Provincia - Perugia;DERUTA;1032913.80;;737409.63;concluso;;;;;;;;;;;;;;;;
DERUTA;PERUGIA;Umbria;PG007A/10;1;AP 2010-11;Alluvione;Georiferito;Rimozione alberature pericolanti e materiale di deposito Fiume Tevere  loc. Ponte Fanciullata;comune di Deruta;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;5155207.46;;10000.00;concluso;;;;;;;;;;;;;;;;
FOLIGNO;PERUGIA;Umbria;292/07;1;D.L.180/98;Frana;Georiferito;Contenimento crolli;Pale;Comune - FOLIGNO;FOLIGNO;762800.00;;762800.00;concluso;;;;;;;;;;;;;;;;
FOLIGNO;PERUGIA;Umbria;315/99;1;D.L.180/98;Alluvione;Georiferito;NUOVA INALVEAZIONE TORRENTE RENARO;TORRENTE RENARO;Consorzio di Bonifica - Bonificazione Umbra;FOLIGNO;2065827.60;;3098737.00;concluso;;;;;;;;;;;;;;;;
FOLIGNO;PERUGIA;Umbria;PG003A/10;1;AP 2010-11;Alluvione;Centroide;Intervento di messa in sicurezza della cittr di Foligno - Casse di espansione. nuove  arginature, risagomature d'alveo sul Fiume Topino;Foligno;Commissario Straordinario - attuazione interventi Regione Umbria;FOLIGNO;9000000.00;;31800000.00;in progettazione;;;;;;;;;;;;;;;;
FOLIGNO;PERUGIA;Umbria;PG008A/10;1;AP 2010-11;Alluvione;Georiferito;Intervento di messa in sicurezza zona industriale La Paciana e abitati nei comuni di Foligno e Spello - Nuove arginature, risagomature d'alveo, rifacimento ponti e  attraversamenti Infrastrutturali sul T. Chiona;Foligno-Spello;Commissario Straordinario - attuazione interventi Regione Umbria;FOLIGNO;981268.11;;981268.11;concluso;;;;;;;;;;;;;;;;
GUALDO CATTANEO;PERUGIA;Umbria;PG007A/10;52;AP 2010-11;Alluvione;Centroide;Sistemazione idraulica per il ripristino dell'officiosit? idrailica del torrente Puglia in localit? Cavallara - Ponte del Diavolo nel Comune di Gualdo Cattaneo;comune di Gualdo Cattaneo;Regione - Umbria;PERUGIA;0.00;vedi lotto 1;60000.00;in esecuzione;;;;;;;;;;;;;;;;
GUALDO TADINO;PERUGIA;Umbria;PG007A/10;66;AP 2010-11;Alluvione;Centroide;Ricostruzione muro di contenimento spondale crollato sul torr.Sciola nel Comune di Gualdo Tadino;Accarelli;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;50000.00;concluso;;;;;;;;;;;;;;;;
GUBBIO;PERUGIA;Umbria;028/98;1;D.L.180/98;Frana;Georiferito;Sistemazione idrogeologica in localitp Bottaccione in comune di Gubbio (PG);Gola del Bottaccione;Regione - Umbria;GUBBIO;1187850.87;;0.00;concluso;;;;;;;;;;;;;;;;
GUBBIO;PERUGIA;Umbria;145/09;1;D.L.180/98;Frana;Georiferito;Interventi di mitigazione del rischio idrogeologico;Bottaccione;Comune - GUBBIO;GUBBIO;650000.00;;650000.00;concluso;;;;;;;;;;;;;;;;
GUBBIO;PERUGIA;Umbria;322/99;1;D.L.180/98;Frana;Georiferito;CONSOLIDAMENTO S.S. 298 EUGUBINA;S.S.BOTTACCIONE;Regione - Umbria;GUBBIO;442087.11;;1629937.97;concluso;;;;;;;;;;;;;;;;
GUBBIO;PERUGIA;Umbria;323/99;1;D.L.180/98;Frana;Georiferito;BONIFICA IDRAULICA DEL CORPO DI FRANA;S.S.VALDERCHIA;Regione - Umbria;GUBBIO;1608246.78;;2389129.61;concluso;;;;;;;;;;;;;;;;
GUBBIO;PERUGIA;Umbria;PG007A/10;64;AP 2010-11;Alluvione;Centroide;Ripristino funzionale arginature, consolidamento spondale e risezionamento alveo del fiume Chiascio nel tratto a valle del ponte di Branca nei Comuni di Gubbio e Gualdo Tadino;Branca;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;75000.00;in esecuzione;;;;;;;;;;;;;;;;
MAGIONE;PERUGIA;Umbria;PG007A/10;16;AP 2010-11;Alluvione;Centroide;Ripararzione rotta arginale Torrente Caina loc. MonteMelino;comune di Magione;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;17988.69;concluso;;;;;;;;;;;;;;;;
MARSCIANO;PERUGIA;Umbria;327/08;2;D.L.180/98;Non definito;Georiferito;Interventi di manutenzione ordinaria e straordinaria;F. Nestore tra gli abitati di Morcella e S.Apollinare (comune di Marsciano);Comunito Montana e Unioni Comuni - MONTI TRASIMENO;PERUGIA;0.00;vedi lotto 1;300000.00;concluso;;;;;;;;;;;;;;;;
MARSCIANO;PERUGIA;Umbria;PG007A/10;17;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamento Torrente Nestore loc. Compignano;comune di Marsciano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;3514.69;concluso;;;;;;;;;;;;;;;;
MARSCIANO;PERUGIA;Umbria;PG007A/10;18;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamento Torrente Nestore loc. Pieve Caina;comune di Marsciano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;8007.30;concluso;;;;;;;;;;;;;;;;
MARSCIANO;PERUGIA;Umbria;PG007A/10;3;AP 2010-11;Alluvione;Georiferito;Rimozione alberature pericolanti e materiale di deposito Fiume Nestore loc. Marsciano Capoluogo;comune di Marsciano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;40000.00;concluso;;;;;;;;;;;;;;;;
MARSCIANO;PERUGIA;Umbria;PG007A/10;8;AP 2010-11;Alluvione;Georiferito;Ripristino protezione spondale Torrente Nestore loc. Morcella;comune di Marsciano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;40000.00;concluso;;;;;;;;;;;;;;;;
MARSCIANO;PERUGIA;Umbria;PG007A/10;9;AP 2010-11;Alluvione;Centroide;Ripararzione rotta arginale Torrente Caina loc. Pilonico Materno;comune di Marsciano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;32082.16;concluso;;;;;;;;;;;;;;;;
MASSA MARTANA;PERUGIA;Umbria;PG007A/10;81;AP 2010-11;Alluvione;Centroide;Somma urgenza per il ripristino della sezione idraulica del fosso di Viepri in Comune di Massa Martana in loc. Viepri Vecchio.;Viepri Vecchio;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;58077.52;concluso;;;;;;;;;;;;;;;;
MONTEFALCO;PERUGIA;Umbria;PG007A/10;45;AP 2010-11;Alluvione;Centroide;Palizzate Torrente Cocugno loc. Fabbri;comune di Montefalco;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;30000.00;concluso;;;;;;;;;;;;;;;;
NOCERA UMBRA;PERUGIA;Umbria;PG007A/10;84;AP 2010-11;Alluvione;Centroide;Somma urgenza per il ripristino della rotta arginale sul fiume Topino in loc. Capannacce di Nocera Umbra;Capannacce;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;60000.00;concluso;;;;;;;;;;;;;;;;
NOCERA UMBRA;PERUGIA;Umbria;PG007A/10;86;AP 2010-11;Alluvione;Centroide;Manutenzione ordinaria e straordinaria sul reticolo idraulico di 3 cat.-;Capannacce, S. Anna, Brucia Porco;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;300000.00;concluso;;;;;;;;;;;;;;;;
NORCIA;PERUGIA;Umbria;PG007A/10;50;AP 2010-11;Alluvione;Centroide;Interventi urgenti di ripristino dell'officiosit? idraulica nel reticolo secondario della Valnerina;comune di Norcia. Vallo di Nera e S. Anatolia di Narco;Comunitd Montana e Unioni Comuni - VALNERINA;PERUGIA;0.00;vedi lotto 1;40000.00;in esecuzione;;;;;;;;;;;;;;;;
PANICALE;PERUGIA;Umbria;368/09;14;D.L.180/98;Alluvione;Georiferito;Manutenzione ordinaria e straordinaria delle aree spondali e del reticolo idrografico;Torrente Tresa in Comune di Panicale;Comunite Montana e Unioni Comuni - MONTI TRASIMENO;PERUGIA;0.00;vedi lotto 1;96000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;024/02;1;D.L.180/98;Alluvione;Georiferito;SECONDO STRALCIO OPERE DI SISTEMAZIONE DEL RETICOLO SECONDARIO;TORRENTE GENNA - PIAN DI MASSIANO;ComunitE Montana e Unioni Comuni - MONTI TRASIMENO;PERUGIA;516456.90;;516456.90;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;144/09;10;D.L.180/98;Alluvione;Centroide;Interventi di manutenzione ordinaria e straordinaria sui principali corsi dtacqua classificati e non classificati;F.sso S. Masseo, comune di Assisi;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;0.00;in progettazione;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;144/09;11;D.L.180/98;Alluvione;Centroide;Interventi di manutenzione ordinaria e straordinaria sui principali corsi d'acqua classificati e non classificati;Corsi d'acqua III cat.;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;159522.06;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;1;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiositf idraulica a seguito degli eventi di piena del novembre 2005 e ripristino piste di servizio;Ponte Pattoli;Provincia - Perugia;PERUGIA;2000000.00;;170000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;2;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiositf idraulica a seguito degli eventi di piena del novembre 2005 e ripristino piste di servizio;tratto della confluenza con il T. Ventia al ponte della F.C.U. in loc. Villa Pitignano;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;210000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;3;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiositt idraulica a seguito degli eventi di piena del novembre 2005;Passo dell'Acqua;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;350000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;4;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiositt idraulica a seguito degli eventi di piena del novembre 2005 e ripristino piste di servizio;Ponte Felcino;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;150000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;5;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiositt idraulica a seguito degli eventi di piena del novembre 2005 e ripristino piste di servizio;tratto in loc. Ponte Felcino, a Pod. S. Martino;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;180000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;6;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiosita idraulica a seguito degli eventi di piena del novembre 2005 e ripristino piste di servizio;tratto in loc. Pod. S. Martino al Pod. Omari Rio;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;340000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;7;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiosito idraulica  a seguito degli eventi di piena del novembre 2005 e ripristino piste di servizio;tratto in loc. Pod. Omari Rio al centro E.N.P.A.;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;150000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;8;D.L.180/98;Non definito;Georiferito;F. Tevere - Interventi di ripristino officiosiA idraulica a seguito degli eventi di piena del novembre 2005 e ripristino piste di servizio;tratto in loc. centro E.N.P.A. al Ponte Ferroviario P. S. Giovanni;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;150000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;296/07;9;D.L.180/98;Non definito;Georiferito;Fosso di Montalcino ed affluenti. Interventi di manutenzione straordinaria per la mitigazione del rigurgito delle acque di piena del Tevere;Abitato Pontevalleceppi;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;300000.00;in progettazione;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;324/99;1;D.L.180/98;Alluvione;Georiferito;SISTEMAZIONE IDRAULICA;PONTE VALLE CEPPI, PONTE PATTOLI, PONTE FEL;Provincia - Perugia;PERUGIA;516456.90;;1291142.25;in esecuzione;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;368/09;17;D.L.180/98;Alluvione;Centroide;Manutenzione ordinaria e straordinaria delle aree spondali e del reticolo idrografico;non definita;Regione - Umbria;PERUGIA;0.00;vedi lotto 1;135862.70;da avviare o dati non comunicati;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;374/08;2;D.L.180/98;Alluvione;Centroide;Lavori urgenti sul fiume Tevere - II stralcio;T.te Caina;Comuniti Montana e Unioni Comuni - MONTI TRASIMENO;PERUGIA;0.00;vedi lotto 1;107000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;374/08;3;D.L.180/98;Alluvione;Centroide;Lavori urgenti sul fiume Tevere - II stralcio;F. Tevere - loc. Ponterio di Todi;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;0.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;PG007A/10;11;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamento Torrente Genna loc. Ponte della Pietra;comune di Perugia;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;3987.26;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;PG007A/10;12;AP 2010-11;Alluvione;Centroide;Riparazione rotta arginale Fosso Loggio loc. Pilonico Materno;comune di Perugia;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;16991.70;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;PG007A/10;20;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamento Torrente Genna loc. Boneggio;comune di Perugia;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;10990.41;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;PG007A/10;47;AP 2010-11;Alluvione;Centroide;Manutenzione sul bacino del torrente Genna in Comune di Perugia  e Marsciano;comune di Perugia e Marsciano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;55000.00;in esecuzione;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;PG007A/10;51;AP 2010-11;Alluvione;Centroide;Mantenimento e ripristino dell'officiosit? idraulica del torrente Vallaccia in Comune di Lisciano Niccone e Umbertide e per la riparazione di danni alluvionali sul torrente Niccone in Comune di Umbertide;comune di Umbertide;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;60000.00;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;PG007A/10;59;AP 2010-11;Alluvione;Centroide;Manutenzione straordinaria torrenti Serra e Tescino nel Comune di Terni;comune di Terni;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;155000.01;concluso;;;;;;;;;;;;;;;;
PERUGIA;PERUGIA;Umbria;PG007A/10;60;AP 2010-11;Alluvione;Centroide;Manutenzione straordinaria fiume Nera e affluenti nei Comune di Terni. Montefranco. Arrone. Ferentillo;comune di Terni. Montefranco. Arrone e Ferentillo;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;95000.00;concluso;;;;;;;;;;;;;;;;
PIEGARO;PERUGIA;Umbria;144/09;8;D.L.180/98;Alluvione;Georiferito;Interventi di manutenzione ordinaria e straordinaria sui principali corsi dtacqua classificati e non classificati;F. Nestore presso Piegaro  (PG);Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;30000.00;concluso;;;;;;;;;;;;;;;;
PIEGARO;PERUGIA;Umbria;PG007A/10;13;AP 2010-11;Alluvione;Centroide;Riparazione rotta arginale Torrente Nestore loc. Canneto;comune di Piegaro;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;13045.91;concluso;;;;;;;;;;;;;;;;
PIEGARO;PERUGIA;Umbria;PG007A/10;15;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamento Torrente Nestore loc. Macereto;comune di Piegaro;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;2223.44;concluso;;;;;;;;;;;;;;;;
PIEGARO;PERUGIA;Umbria;PG007A/10;49;AP 2010-11;Alluvione;Centroide;Manutenzione dei fossi Acquaiola e Gratiano in Comune di Piegaro e Perugia;comune di Piegaro e Perugia;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;30000.00;in esecuzione;;;;;;;;;;;;;;;;
SAN GIUSTINO;PERUGIA;Umbria;PG006A/10;1;AP 2010-11;Alluvione;Centroide;Intervento di messa in sicurezza dell'abitato, zona industriale e artigianale - Adeguamento sezioni e nuove arginature sul T. Vertola;San Giustino;Regione - Umbria;SAN GIUSTINO;1900000.00;;1300000.00;in esecuzione;;;;;;;;;;;;;;;;
SAN GIUSTINO;PERUGIA;Umbria;PG007A/10;68;AP 2010-11;Alluvione;Centroide;Contributo per la manutenzione delle sponde del torrente Niccone in Comune di Lisciano Niccone e Umbertide;Ponte SS 416;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;40000.00;concluso;;;;;;;;;;;;;;;;
SANT'ANATOLIA DI NARCO;PERUGIA;Umbria;144/09;9;D.L.180/98;Alluvione;Georiferito;Interventi di manutenzione ordinaria e straordinaria sui principali corsi d'acqua classificati e non classificati;F. Nera in comune di scheggino, loc. Le Melaggini;Provincia - Perugia;PERUGIA;0.00;vedi lotto 1;50000.00;concluso;;;;;;;;;;;;;;;;
SANT'ANATOLIA DI NARCO;PERUGIA;Umbria;327/08;5;D.L.180/98;Non definito;Georiferito;Interventi di manutenzione ordinaria e straordinaria;F. Nera nel Comune S.Anatolia di Narco, loc. Mezzano;Comunit  Montana e Unioni Comuni - VALNERINA;PERUGIA;0.00;vedi lotto 1;92800.00;concluso;;;;;;;;;;;;;;;;
SCHEGGIA E PASCELUPO;PERUGIA;Umbria;PG007A/10;65;AP 2010-11;Alluvione;Centroide;Ripristino funzionalitr del ponte rifacimento difese spondali con scogliere del torr. Sentino nei Comuni di Scheggia e Pascelupo;Isola Fossara;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;75000.00;concluso;;;;;;;;;;;;;;;;
SELLANO;PERUGIA;Umbria;324/08;1;D.L.180/98;Frana;Georiferito;Messa in sicurezza dell'abitato dal rischio di frana;Centro storico;Comune - SELLANO;SELLANO;390000.00;;390000.00;concluso;;;;;;;;;;;;;;;;
SELLANO;PERUGIA;Umbria;367/09;1;D.L.180/98;Frana;Georiferito;Riduzione del rischio idrogeologico 1a stralcio;Centro storico - Rocchetta;Comune - SELLANO;SELLANO;377000.00;;377000.00;concluso;;;;;;;;;;;;;;;;
SPOLETO;PERUGIA;Umbria;025/02;1;D.L.180/98;Alluvione;Georiferito;PRIMO STARLCIO OPERE DI SISTEMAZIONE DEL TRATTO URBANO, COMPLETAMENTO MURO E SISTEMA A MONTE DELLA CITTA';TORRENTE TESSINO E TESSINALLO - AREA URBANA;Consorzio di Bonifica - Bonificazione Umbra;SPOLETO;327043.75;;1009447.03;concluso;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;298/07;1;D.L.180/98;Alluvione;Georiferito;Intervento urgente per la riduzione del rischio idraulico (Trattasi di sostituzione di intervento gis finanziato con precedente provvedimento, importo ? 516.455,00);Fiume Tevere - loc. Pian S. Martino e Ponte Rio;Comune - TODI;TODI;516455.00;;850000.00;concluso;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;316/99;1;D.L.180/98;Frana;Georiferito;OPERE DI CONSOLIDAMENTO ABITATO;LORETO S.P.385;Provincia - Perugia;TODI;216911.90;;216911.00;concluso;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;325/99;1;D.L.180/98;Frana;Georiferito;OPERE DI CONSOLIDAMENTO ABITATO;LORETO ABITATO;Regione - Umbria;TODI;387342.67;;1504654.20;concluso;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;327/08;11;D.L.180/98;Non definito;Georiferito;Interventi di manutenzione ordinaria e straordinaria;F.ssi Quadro, Vorga, S.Antonio e Pietraia in Comune di todi;Consorzio di Bonifica - Tevere Nera;PERUGIA;0.00;vedi lotto 1;150000.00;concluso;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;374/08;1;D.L.180/98;Alluvione;Georiferito;Lavori urgenti sul fiume Tevere - II stralcio;F. Tevere in loc. Ponte Rio di Todi;Comune - TODI;PERUGIA;469200.00;;850000.00;concluso;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;PG005A/10;1;AP 2010-11;Alluvione;Centroide;Completamento opere di messa in sicurezza dell'abitato - Nuove arginature golenali sul F. Tevere;Pian S. Martino;Commissario Straordinario - attuazione interventi Regione Umbria;TODI;500000.00;;477000.00;in esecuzione;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;PG007A/10;58;AP 2010-11;Alluvione;Centroide;Ripristino dell'officiosit? idraulica del torrente Rio Bagno e i suoi affluenti in Comune di Todi;comune di Todi;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;50000.00;concluso;;;;;;;;;;;;;;;;
TODI;PERUGIA;Umbria;PG014A/10;2;AP 2010-11;Frana;Georiferito;consolidamento pendici e regimazione acque;Colle Todi;Commissario Straordinario - attuazione interventi Regione Umbria;ORVIETO;0.00;vedi lotto 1;500000.00;concluso;;;;;;;;;;;;;;;;
TORGIANO;PERUGIA;Umbria;PG004A/10;1;AP 2010-11;Alluvione;Centroide;Completamento opere di messa in sicurezza dell'abitato e zona industriale  - Nuove arginature golenali sul F. Tevere;Le Fornaci;Commissario Straordinario - attuazione interventi Regione Umbria;TORGIANO;0.00;;0.00;definanziati o sostitutivi;;;;;;;;;;;;;;;;
TORGIANO;PERUGIA;Umbria;PG007A/10;14;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamento Fosso del Crocefisso loc. Pontenuovo;comune di Torgiano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;3044.55;concluso;;;;;;;;;;;;;;;;
TORGIANO;PERUGIA;Umbria;PG007A/10;19;AP 2010-11;Alluvione;Centroide;Ripristino della sezione di deflusso mediante rimozione del materiale di sovralluvionamento Fosso Rena Bianca loc. Miralduolo;comune di Torgiano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;7997.24;concluso;;;;;;;;;;;;;;;;
TORGIANO;PERUGIA;Umbria;PG007A/10;4;AP 2010-11;Alluvione;Georiferito;Rimozione alberature pericolanti e materiale di deposito Fiume Chiascio e Tevere loc. Ponte Nuovo e Ponte Rosciano;comune di Torgiano;Commissario Straordinario - attuazione interventi Regione Umbria;PERUGIA;0.00;vedi lotto 1;20000.00;concluso;;;;;;;;;;;;;;;;
