Comune;Provincia;Regione;Intervento;Lotto;Norma di riferimento;Tipo di dissesto;Posizione;Denominazione;Localit�;Ente attuatore;Comune primario;Importo finanziato;Nota importo finanziato;Importo lotto;Fase di attuazione;;;;;;;;;;;;;;;;
CESANA TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO181A/10;1;AP 2010-11;Frana;Centroide;SISTEMAZIONE FRANA LOC. STRADA PER SANSICARIO A SEGUITO DELLeEVENTO CALAMITOSO DELLIAPRILE 2009 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);STRADA PER S.SICARIO;Commissario Straordinario - attuazione interventi Regione Piemonte;CESANA TORINESE;150000.00;;150000.00;concluso;;;;;;;;;;;;;;;;
CHIOMONTE;CITTA' METROPOLITANA DI TORINO;Piemonte;TO182A/10;1;AP 2010-11;Alluvione;Georiferito;SISTEMAZIONEIDRAULICA IN PROSSIMITi DELLnABITATO LUNGO IL RIO FRAIS (OPERE DI REGIMAZIONE E DIFESA IDRAULICA );ABITATO;Commissario Straordinario - attuazione interventi Regione Piemonte;CHIOMONTE;200000.00;;200000.00;concluso;;;;;;;;;;;;;;;;
CHIVASSO;CITTA' METROPOLITANA DI TORINO;Piemonte;364/08;1;D.L.180/98;Alluvione;Georiferito;Realizzazione canale scolmatore torrente Bendola a presidio del centro abitato da esondazioni;Torrente Bendola;Comune - BRANDIZZO;BRANDIZZO;970000.00;;2699036.60;concluso;;;;;;;;;;;;;;;;
CINZANO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO163A/10;1;AP 2010-11;Frana;Georiferito;"LAVORI PER LA MESSA IN SICUREZZA DEL SEDE STRADALE DELLA S.P. N. 97 ""DI CINZANO"" IN COMUNE DI CINZANO (OPERE DI CONSOLIDAMENTO ATTIVO)";COMUNE DI CINZANO;Commissario Straordinario - attuazione interventi Regione Piemonte;CINZANO;300000.00;;400000.00;concluso;;;;;;;;;;;;;;;;
COAZZE;CITTA' METROPOLITANA DI TORINO;Piemonte;050/06;1;D.L.180/98;Alluvione;Georiferito;Realizzazione vasca;Molino;Comune - COAZZE;COAZZE;55000.00;;0.00;concluso;;;;;;;;;;;;;;;;
COAZZE;CITTA' METROPOLITANA DI TORINO;Piemonte;051/06;1;D.L.180/98;Alluvione;Georiferito;Sistemazione spondale;Molino;Comune - COAZZE;COAZZE;480000.00;;715000.00;concluso;;;;;;;;;;;;;;;;
CORIO;CITTA' METROPOLITANA DI TORINO;Piemonte;TO183A/10;1;AP 2010-11;Frana;Centroide;SISTEMAZIONE FRANE LOC. VARIE E SISTEMAZIONE IMPLUVIO A SEGUITO DELL(EVENTO CALAMITOSO DEL NOVEMBRE-DICEMBRE 2008 (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;CORIO;102000.00;;102000.00;concluso;;;;;;;;;;;;;;;;
CUMIANA;CITTA' METROPOLITANA DI TORINO;Piemonte;TO184A/10;1;AP 2010-11;Frana;Georiferito;SISTEMAZIONI IDROGEOLOGICHE LOCALITAn VARIE A SEGUITO DEGLI EVENTI CALAMITOSI DEL NOVEMBRE-DICEMBRE 2008  (OPERE DI CONSOLIDAMENTO ATTIVO E REGIMAZIONE ACQUE);VARIE;Commissario Straordinario - attuazione interventi Regione Piemonte;CUMIANA;280000.00;;280000.00;concluso;;;;;;;;;;;;;;;;
DRUENTO;CITTA' METROPOLITANA DI TORINO;Piemonte;215/07;1;D.L.180/98;Alluvione;Centroide;Sistemazione idraulica confluenza Rio Caloria e Torrente Ceronda;Rio Caloria Torrente Ceronda;Comune - DRUENTO;DRUENTO;300000.00;;0.00;in esecuzione;;;;;;;;;;;;;;;;
DRUENTO;CITTA' METROPOLITANA DI TORINO;Piemonte;315/02;1;D.L.180/98;Alluvione;Georiferito;Opere di completamento della sistemazione del rio delle Rive;Rio delle Rive;Comune - DRUENTO;DRUENTO;866000.00;;1735795.39;concluso;;;;;;;;;;;;;;;;
