Identificativo;TipologiaImmobile;Indirizzo;Comune;Provincia;Sezione;Foglio;Particella;Sub
899F;Fabbricato;FASANARA;Battipaglia;SA;;4;A;2
952F;Fabbricato;GROMOLA;Capaccio;SA;;11;451;2
953F;Fabbricato;GROMOLA;Capaccio;SA;;11;451;3
1412F;Fabbricato;contrada ISCA snc;Ceraso;SA;;11;155;1
722F;Fabbricato;Via Nazionale;Eboli;SA;;47;A;
725F;Fabbricato;Borgo Cioffi piano T - Scala A;Eboli;SA;;51;126;1
726F;Fabbricato;Borgo Cioffi piano T - Scala B;Eboli;SA;;51;126;2
727F;Fabbricato;Località Cioffi piano T - 1;Eboli;SA;;51;127;
728F;Fabbricato;Località Cioffi piano T - 1;Eboli;SA;;51;129;
864F;Fabbricato;BORGO CIOFFI;Eboli;SA;;51;553;
937F;Fabbricato;AVERSANA;Eboli;SA;;46;A;
1076F;Fabbricato;TORRE DELLE BARRIATE;Eboli;SA;;59;158;
1088F;Fabbricato;FIOCCHE;Eboli;SA;;49;50;
1452F;Fabbricato;Località Cioffi ;Eboli;SA;;51;927;3
1462F;Fabbricato;via Nazionale snc;Eboli;SA;;47;11;5
1463F;Fabbricato;via Nazionale snc;Eboli;SA;;47;1138;1
1464F;Fabbricato;via Nazionale snc;Eboli;SA;;47;1048;3
1465F;Fabbricato;via Nazionale snc;Eboli;SA;;47;1050;5
1466F;Fabbricato;via Nazionale snc;Eboli;SA;;47;1051;2
317F;Fabbricato;Via Solimena;Nocera Inferiore;SA;;18;381;
542F;Fabbricato;Foresta Mandria - Cuponi loc. Casone;Sala Consilina;SA;;23;46;
763F;Fabbricato;Contrada Barca;Sala Consilina;SA;;9;604;
1401F;Fabbricato;Foresta Mandria - località Cuponi;Sala Consilina;SA;;4;121;2
1402F;Fabbricato;Foresta Mandria - località Cuponi;Sala Consilina;SA;;4;121;3
90F;Fabbricato;Via Lungomare Trieste,7 p. 1.;Salerno;SA;;64;2044;2
114F;Fabbricato;Via dei Carrari, 23 piano T e 1;Salerno;SA;;45;111;
312F;Fabbricato;Traversa Pasquale Naddeo nn.12-14-20 ex Via Parmenide Ricci 33;Salerno;SA;;68;10;8
313F;Fabbricato;Via Parmenide Ricci, 31 ex Via Luigi Cacciatore, 31;Salerno;SA;;68;10;9
314F;Fabbricato;Via Nizza, 134 (Deposito mensa);Salerno;SA;;68;10;25
367F;Fabbricato;Via Luigi Cacciatore p. t;Salerno;SA;;68;10;10
610F;Fabbricato;Via Porto/Sabatini, 2 p.t.;Salerno;SA;;64;1680;3
611F;Fabbricato;Via Porto, 2 e 4 p.:T-1-2--4-5;Salerno;SA;;64;1680;5
1133F;Fabbricato;VIA ABELLA SALERNITANA;Salerno;SA;;70;14;37
1134F;Fabbricato;VIA ABELLA SALERNITANA, n. 3 Piano I, sc. B, int 6;Salerno;SA;;70;14;38
1135F;Fabbricato;VIA ABELLA SALERNITANA;Salerno;SA;;70;14;54
1493F;Fabbricato;Via Generale Clark, n. 5 piano: T;Salerno;SA;;44;891;2
1494F;Fabbricato;"Via Generale Clark, n. 5 piano: T;";Salerno;SA;;44;891
1495F;Fabbricato;"Via Generale Clark, n. 5 piano: T;";Salerno;SA;;44;891
1496F;Fabbricato;"Via Generale Clark, n. 5 piano: T;";Salerno;SA;;44;891
1497F;Fabbricato;"Via Generale Clark, n. 5 piano: T-1-2;";Salerno;SA;;44;891
1498F;Fabbricato;"Via Generale Clark, n. 5 piano: T-1;";Salerno;SA;;44;891
1499F;Fabbricato;"Via Generale Clark, n. 5 piano: T-1;";Salerno;SA;;44;891
543F;Fabbricato;Foresta Cerreta - Cognole - Vesolo;Sanza;SA;;7;57;
1472F;Fabbricato;Via Provinciale Sarno Striano, p. T-1;Sarno;SA;;18;3046;1
947F;Fabbricato;BORGO S. LAZZARO;Serre;SA;;16;94;
1141F;Fabbricato;BORGO S. LAZZARO;Serre;SA;;16;92;4
1149F;Fabbricato;BORGO S. LAZZARO;Serre;SA;;16;93;
143T;Terreno;;Sanza;SA;;5;4;
144T;Terreno;;Sanza;SA;;5;27;
145T;Terreno;;Sanza;SA;;5;29;
146T;Terreno;;Sanza;SA;;5;30;
147T;Terreno;;Sanza;SA;;5;31;
148T;Terreno;;Sanza;SA;;5;32;
149T;Terreno;;Sanza;SA;;6;1;
150T;Terreno;;Sanza;SA;;6;2;
151T;Terreno;;Sanza;SA;;6;3;
152T;Terreno;;Sanza;SA;;6;7;
153T;Terreno;;Sanza;SA;;6;8;
154T;Terreno;;Sanza;SA;;6;9;
155T;Terreno;;Sanza;SA;;7;1;
156T;Terreno;;Sanza;SA;;7;2;
157T;Terreno;;Sanza;SA;;7;3;
158T;Terreno;;Sanza;SA;;7;4;
159T;Terreno;;Sanza;SA;;7;5;
160T;Terreno;;Sanza;SA;;7;7;
161T;Terreno;;Sanza;SA;;7;8;
162T;Terreno;;Sanza;SA;;7;9;
163T;Terreno;;Sanza;SA;;7;10;
164T;Terreno;;Sanza;SA;;7;11;
165T;Terreno;;Sanza;SA;;7;12;
166T;Terreno;;Sanza;SA;;7;13;
167T;Terreno;;Sanza;SA;;7;14;
168T;Terreno;;Sanza;SA;;7;17;
169T;Terreno;;Sanza;SA;;7;18;
170T;Terreno;;Sanza;SA;;7;22;
171T;Terreno;;Sanza;SA;;7;23;
172T;Terreno;;Sanza;SA;;7;24;
174T;Terreno;;Sanza;SA;;7;31;
175T;Terreno;;Sanza;SA;;8;1;
176T;Terreno;;Sanza;SA;;8;2;
177T;Terreno;;Sanza;SA;;8;3;
178T;Terreno;;Sanza;SA;;8;4;
179T;Terreno;;Sanza;SA;;8;6;
180T;Terreno;;Sanza;SA;;8;7;
181T;Terreno;;Sanza;SA;;8;8;
182T;Terreno;;Sanza;SA;;8;9;
183T;Terreno;;Sanza;SA;;8;10;
184T;Terreno;;Sanza;SA;;8;11;
185T;Terreno;;Sanza;SA;;8;12;
186T;Terreno;;Sanza;SA;;8;13;
187T;Terreno;;Sanza;SA;;8;14;
188T;Terreno;;Sanza;SA;;8;15;
189T;Terreno;;Sanza;SA;;8;16;
190T;Terreno;;Sanza;SA;;8;17;
191T;Terreno;;Sanza;SA;;8;18;
192T;Terreno;;Sanza;SA;;8;26;
193T;Terreno;;Sanza;SA;;9;103;
194T;Terreno;;Sanza;SA;;9;128;
195T;Terreno;;Sanza;SA;;9;141;
196T;Terreno;;Sanza;SA;;9;157;
197T;Terreno;;Sanza;SA;;9;158;
198T;Terreno;;Sanza;SA;;50;3;
199T;Terreno;;Sanza;SA;;50;4;
200T;Terreno;;Sanza;SA;;50;5;
201T;Terreno;;Sanza;SA;;50;8;
202T;Terreno;;Sanza;SA;;50;9;
203T;Terreno;;Sanza;SA;;50;13;
204T;Terreno;;Sanza;SA;;50;14;
205T;Terreno;;Sanza;SA;;50;15;
206T;Terreno;;Sanza;SA;;50;16;
207T;Terreno;;Sanza;SA;;50;17;
208T;Terreno;;Sanza;SA;;50;18;
209T;Terreno;;Sanza;SA;;50;19;
210T;Terreno;;Sanza;SA;;50;20;
211T;Terreno;;Sanza;SA;;50;21;
212T;Terreno;;Sanza;SA;;50;22;
213T;Terreno;;Sanza;SA;;50;23;
504T;Terreno;;Villa Literno;CE;;54;31;
505T;Terreno;;Villa Literno;CE;;54;32;
506T;Terreno;;Villa Literno;CE;;54;33;
507T;Terreno;;Villa Literno;CE;;54;34;
509T;Terreno;;Villa Literno;CE;;54;36;
513T;Terreno;;Cava de' Tirreni;SA;;16;1111;
514T;Terreno;;Campagna;SA;;33;5;
515T;Terreno;;Campagna;SA;;33;6;
516T;Terreno;;Campagna;SA;;33;9;
517T;Terreno;;Campagna;SA;;33;10;
518T;Terreno;;Campagna;SA;;33;11;
519T;Terreno;;Campagna;SA;;55;2;
520T;Terreno;;Campagna;SA;;55;36;
521T;Terreno;;Casalbuono;SA;;1;347;
522T;Terreno;;Casalbuono;SA;;1;348;
523T;Terreno;;Casalbuono;SA;;1;349;
524T;Terreno;;Casalbuono;SA;;1;350;
525T;Terreno;;Sala Consilina;SA;;4;1;
526T;Terreno;;Sala Consilina;SA;;4;2;
527T;Terreno;;Sala Consilina;SA;;4;3;
528T;Terreno;;Sala Consilina;SA;;4;4;
529T;Terreno;;Sala Consilina;SA;;4;120;
530T;Terreno;;Sala Consilina;SA;;4;6;
531T;Terreno;;Sala Consilina;SA;;4;7;
532T;Terreno;;Sala Consilina;SA;;4;10;
533T;Terreno;;Sala Consilina;SA;;4;11;
534T;Terreno;;Sala Consilina;SA;;4;12;
535T;Terreno;;Sala Consilina;SA;;4;13;
536T;Terreno;;Sala Consilina;SA;;4;14;
537T;Terreno;;Sala Consilina;SA;;4;15;
538T;Terreno;;Sala Consilina;SA;;4;18;
539T;Terreno;;Sala Consilina;SA;;4;19;
540T;Terreno;;Sala Consilina;SA;;4;21;
541T;Terreno;;Sala Consilina;SA;;4;26;
542T;Terreno;;Sala Consilina;SA;;4;27;
543T;Terreno;;Sala Consilina;SA;;4;32;
544T;Terreno;;Sala Consilina;SA;;4;33;
545T;Terreno;;Sala Consilina;SA;;4;35;
546T;Terreno;;Sala Consilina;SA;;4;36;
547T;Terreno;;Sala Consilina;SA;;4;44;
548T;Terreno;;Sala Consilina;SA;;4;48;
549T;Terreno;;Sala Consilina;SA;;4;49;
550T;Terreno;;Sala Consilina;SA;;4;51;
551T;Terreno;;Sala Consilina;SA;;4;55;
552T;Terreno;;Sala Consilina;SA;;4;56;
553T;Terreno;;Sala Consilina;SA;;4;95;
554T;Terreno;;Sala Consilina;SA;;4;96;
555T;Terreno;;Sala Consilina;SA;;4;97;
556T;Terreno;;Sala Consilina;SA;;4;98;
557T;Terreno;;Sala Consilina;SA;;4;99;
558T;Terreno;;Sala Consilina;SA;;5;1;
559T;Terreno;;Sala Consilina;SA;;5;2;
560T;Terreno;;Sala Consilina;SA;;5;8;
561T;Terreno;;Sala Consilina;SA;;5;10;
562T;Terreno;;Sala Consilina;SA;;5;14;
563T;Terreno;;Sala Consilina;SA;;5;16;
564T;Terreno;;Sala Consilina;SA;;5;17;
565T;Terreno;;Sala Consilina;SA;;5;18;
566T;Terreno;;Sala Consilina;SA;;5;19;
567T;Terreno;;Sala Consilina;SA;;5;20;
568T;Terreno;;Sala Consilina;SA;;5;21;
569T;Terreno;;Sala Consilina;SA;;5;22;
570T;Terreno;;Sala Consilina;SA;;5;23;
571T;Terreno;;Sala Consilina;SA;;5;24;
572T;Terreno;;Sala Consilina;SA;;5;25;
573T;Terreno;;Sala Consilina;SA;;8;1;
574T;Terreno;;Sala Consilina;SA;;8;3;
575T;Terreno;;Sala Consilina;SA;;22;1;
576T;Terreno;;Sala Consilina;SA;;22;2;
577T;Terreno;;Sala Consilina;SA;;22;3;
578T;Terreno;;Sala Consilina;SA;;22;4;
579T;Terreno;;Sala Consilina;SA;;22;5;
580T;Terreno;;Sala Consilina;SA;;22;15;
581T;Terreno;;Sala Consilina;SA;;22;16;
582T;Terreno;;Sala Consilina;SA;;22;17;
583T;Terreno;;Sala Consilina;SA;;22;21;
584T;Terreno;;Sala Consilina;SA;;23;1;
585T;Terreno;;Sala Consilina;SA;;23;2;
586T;Terreno;;Sala Consilina;SA;;23;3;
587T;Terreno;;Sala Consilina;SA;;23;4;
588T;Terreno;;Sala Consilina;SA;;23;5;
589T;Terreno;;Sala Consilina;SA;;23;6;
590T;Terreno;;Sala Consilina;SA;;23;7;
591T;Terreno;;Sala Consilina;SA;;23;8;
592T;Terreno;;Sala Consilina;SA;;23;9;
593T;Terreno;;Sala Consilina;SA;;23;10;
596T;Terreno;;Sala Consilina;SA;;23;13;
597T;Terreno;;Sala Consilina;SA;;23;14;
598T;Terreno;;Sala Consilina;SA;;23;18;
599T;Terreno;;Sala Consilina;SA;;23;21;
600T;Terreno;;Sala Consilina;SA;;32;14;
601T;Terreno;;Sala Consilina;SA;;32;16;
602T;Terreno;;Sala Consilina;SA;;32;17;
653T;Terreno;;Sant'Andrea di Conza;AV;;2;130;
654T;Terreno;;Sant'Andrea di Conza;AV;;2;211;
655T;Terreno;;Guardia Lombardi;AV;;48;14;
656T;Terreno;;Guardia Lombardi;AV;;48;69;
657T;Terreno;;Guardia Lombardi;AV;;48;78;
659T;Terreno;;Guardia Lombardi;AV;;48;205;
660T;Terreno;;Guardia Lombardi;AV;;48;34;
661T;Terreno;;Guardia Lombardi;AV;;48;80;
