id;department_code;insee_code;zip_code;name;slug;gps_lat;gps_lng
19053;51;51468;51390;Rosnay;rosnay;49257604;3,85443E+13
19054;51;51469;51130;Rouffy;rouffy;4,8934E+13;4,09756E+13
19055;51;51470;51800;Rouvroy-Ripont;rouvroy ripont;4,92214E+13;4,70487E+12
19056;51;51471;51500;Sacy;sacy;4,91972E+13;3,95086E+13
19057;51;51472;51300;Saint-Amand-sur-Fion;saint amand sur fion;4,8824E+13;4,60258E+12
19058;51;51473;51310;Saint-Bon;saint bon;4,86832E+12;3,47254E+13
19059;51;51474;51370;Saint-Brice-Courcelles;saint brice courcelles;4,92679E+13;3,98761E+13
19060;51;51475;51290;Saint-Chéron;saint cheron;4,86305E+13;4,5492E+13
19061;51;51476;51460;Saint-Étienne-au-Temple;saint etienne au temple;49019583125;4,41867E+11
19062;51;51477;51110;Saint-Étienne-sur-Suippe;saint etienne sur suippe;4,93823E+11;4,10135E+11
19063;51;51478;52100;Saint-Eulien;saint eulien;4,86814E+13;4,87366E+13
19064;51;51479;51390;Saint-Euphraise-et-Clairizet;saint euphraise et clairizet;4,92147E+13;3,88809E+13
19065;51;51480;51700;Sainte-Gemme;sainte gemme;4,91432E+12;3,6649E+13
19066;51;51482;51240;Saint-Germain-la-Ville;saint germain la ville;48885571875;4449458875
19067;51;51483;51510;Saint-Gibrien;saint gibrien;4,89783E+13;4,29875E+13
19068;51;51484;51170;Saint-Gilles;saint gilles;4,92847E+13;3,67816E+13
19069;51;51485;51400;Saint-Hilaire-au-Temple;saint hilaire au temple;4,90594E+13;43791
19070;51;51486;51600;Saint-Hilaire-le-Grand;saint hilaire le grand;4,91686E+13;4,46441E+12
19071;51;51487;51490;Saint-Hilaire-le-Petit;saint hilaire le petit;4,92678E+13;4,37881E+13
19072;51;51488;51160;Saint-Imoges;saint imoges;4,9107E+12;3,98043E+13
19073;51;51489;51330;Saint-Jean-devant-Possesse;saint jean devant possesse;4,88695E+13;4,79055E+13
19074;51;51490;51240;Saint-Jean-sur-Moivre;saint jean sur moivre;488929176;45840849
19075;51;51491;51600;Saint-Jean-sur-Tourbe;saint jean sur tourbe;4,91256E+13;4,68231E+13
19076;51;51492;51260;Saint-Just-Sauvage;saint just sauvage;4,85452E+13;3,76054E+13
19077;51;51493;51500;Saint-Léonard;saint leonard;4,92184E+13;4,09996E+13
19078;51;51495;51120;Saint-Loup;saint loup;4,87346E+13;3,82284E+13
19079;51;51496;51300;Saint-Lumier-en-Champagne;saint lumier en champagne;4,87947E+13;4,62332E+13
19080;51;51497;51340;Saint-Lumier-la-Populeuse;saint lumier la populeuse;4,87308E+13;4,80594E+13
19081;51;51498;51800;Saint-Mard-sur-Auve;saint mard sur auve;4,90315E+13;4,72743E+13
19082;51;51499;51130;Saint-Mard-lès-Rouffy;saint mard les rouffy;4,8946E+13;4,11221E+13
19083;51;51500;51330;Saint-Mard-sur-le-Mont;saint mard sur le mont;4,89249E+12;4,86112E+13
19084;51;51501;51600;Sainte-Marie-à-Py;sainte marie a py;4,92422E+13;4,50715E+13
19085;51;51502;51240;Saint-Martin-aux-Champs;saint martin aux champs;4,88172E+13;4,48678E+13
19086;51;51503;51490;Saint-Martin-l'Heureux;saint martin l heureux;4,92423E+13;4,37816E+13
19087;51;51504;51520;Saint-Martin-sur-le-Pré;saint martin sur le pre;4,89851E+13;4,34918E+13
19088;51;51505;51490;Saint-Masmes;saint masmes;4,93132E+13;4,25879E+13
19089;51;51506;51470;Saint-Memmie;saint memmie;4,89531E+13;4,41892E+13
19090;51;51507;51800;Sainte-Menehould;sainte menehould;4,90895E+13;4,92189E+13
19091;51;51508;51320;Saint-Ouen-Domprot;saint ouen domprot;4,86176E+13;4,39403E+13
19092;51;51509;51510;Saint-Pierre;saint pierre;4,89381E+13;4,24071E+13
19093;51;51510;51300;Saint-Quentin-les-Marais;saint quentin les marais;4,87782E+13;4,63398E+13
19094;51;51511;51120;Saint-Quentin-le-Verger;saint quentin le verger;4,86184E+13;3,74623E+13
19095;51;51512;51240;Saint-Quentin-sur-Coole;saint quentin sur coole;4885448;4,32937E+13
19096;51;51513;51290;Saint-Remy-en-Bouzemont-Saint-Genest-et-Isson;saint remy en bouzemont saint genest et isson;4,86108E+13;4,64781E+13
19097;51;51514;51120;Saint-Remy-sous-Broyes;saint remy sous broyes;4,87032E+13;3,77179E+13
19098;51;51515;51600;Saint-Remy-sur-Bussy;saint remy sur bussy;4,906E+13;4,58896E+12
