MD_ID;ENGLISH;GAEILGE;CONTAE;COUNTY;PROVINCE;GUID;CENTROID_X;CENTROID_Y;AREA;OBJECTID;Shape__Area;Shape__Length
6415002;Municipal District of Ballymote-Tobercurry;;Sligeach;SLIGO;Connacht;2ae19629-409a-13a3-e055-000000000001;55789746;81760405;1,41E+11;72;1,41E+14;3,09E+14
5215003;Municipal District of Kildare-Newbridge;;Cill Dara;KILDARE;Leinster;2ae19629-40cd-13a3-e055-000000000001;67430442;71454135;44607716497;73;4,46E+13;1,66E+14
4315003;Municipal District of Macroom;;Corcaigh;CORK;Munster;2ae19629-40b7-13a3-e055-000000000001;535110;57714222;1,2E+11;74;1,2E+14;2,38E+14
6015005;Municipal District of Ratoath;;An Mhí;MEATH;Leinster;2ae19629-408e-13a3-e055-000000000001;69623381;74910341;29495514287;75;2,95E+14;1,08E+14
6415003;Borough District of Sligo;;Sligeach;SLIGO;Connacht;2ae19729-419a-13a3-e055-044000000001;0;0;0;76;3,44E+14;4,73E+14
4015001;Municipal District of Carlow;;Ceatharlach;CARLOW;Leinster;2ae19629-40ac-13a3-e055-000000000001;6749194;67621585;624245996;77;6,24E+14;5,83E+14
4115002;Municipal District of Bailieborough-Cootehill;;An Cabhán;CAVAN;Ulster;2ae19629-40af-13a3-e055-000000000001;66132976;8045226;64603557554;78;6,46E+14;1,8E+14
5715002;Municipal District of Granard;;An Longfort;LONGFORD;Leinster;2ae19629-4081-13a3-e055-000000000001;62733272;78497311;41305300989;79;4,13E+13;1,36E+14
5415003;Municipal District of Portlaoise;;Laois;LAOIS;Leinster;2ae19629-40d5-13a3-e055-000000000001;64683475;693199;29296437677;80;2,93E+14;1,21E+13
4415005;Municipal District of Lifford - Stranorlar;;Dún na nGall;DONEGAL;Ulster;2ae19629-40c1-13a3-e055-000000000001;6151234;89875819;70802460464;81;7,08E+14;1,71E+14
5115001;Municipal District of Killarney;;Ciarraí;KERRY;Munster;2ae19629-40c7-13a3-e055-000000000001;50315502;58919334;57907759503;82;5,79E+13;1,6E+13
6115001;Municipal District of Ballybay - Clones;;Muineachán;MONAGHAN;Ulster;2ae19629-4090-13a3-e055-000000000001;66220911;82088644;54225191792;83;5,42E+14;2,06E+14
5915003;Municipal District of Claremorris - Swinford;;Maigh Eo;MAYO;Connacht;2ae19629-4088-13a3-e055-000000000001;53582761;77885131;1508212472;84;1,51E+14;3,22E+14
5315003;Municipal District of Castlecomer;;Cill Chainnigh;KILKENNY;Leinster;2ae19629-40d2-13a3-e055-000000000001;64558058;66566467;79275234413;85;7,93E+14;2,29E+14
5615003;Municipal District of Cappamore-Kilmallock;;Luimneach;LIMERICK;Munster;2ae19629-40db-13a3-e055-000000000001;56829139;6375115;1,04E+11;86;1,03E+14;2,59E+14
6915001;Municipal District of Rosslare;;Loch Garman;WEXFORD;Leinster;2ae19629-40a5-13a3-e055-000000000001;69830315;60928114;38815869967;87;3,88E+14;1,6E+14
4415002;Municipal District of Glenties;;Dún na nGall;DONEGAL;Ulster;2ae19629-40be-13a3-e055-000000000001;58527037;91498509;1,31E+11;88;1,31E+14;6,61E+14
4215004;Municipal District of Killaloe;;An Clár;CLARE;Munster;2ae19629-40b4-13a3-e055-000000000001;55846799;6810775;96700597472;89;9,67E+14;1,86E+14
5615001;Metropolitan District of Limerick City;;Luimneach;LIMERICK;Munster;2ae19629-40d9-13a3-e055-000000000001;55771928;65724041;22499663121;90;2,25E+14;1,12E+14
5515002;Municipal District of Carrick-on-Shannon;;Liatroim;LEITRIM;Conacht;2ae19629-40d7-13a3-e055-000000000001;60373927;79704682;28593383116;91;2,86E+14;1,25E+14
6715003;Municipal District of Dungarvan-Lismore;;Port Láirge;WATERFORD;Munster;2ae19629-40a2-13a3-e055-000000000001;61134031;59519577;92114768045;92;9,21E+14;2,52E+14
4415001;Municipal District of Donegal;;Dún na nGall;DONEGAL;Ulster;2ae19629-40bd-13a3-e055-000000000001;58297028;87518396;1,09E+11;93;1,09E+14;4,5E+14
4115001;Municipal District of Cavan-Belturbet;;An Cabhán;CAVAN;Ulsterrrr;2ae19629-40ae-13a3-e055-000000000001;6222931;81903881;67967611947;94;6,8E+14;2,32E+14
5515001;Municipal District of Ballinamore;;Liatroim;LEITRIM;Connacht;2ae19629-40d6-13a3-e055-000000000001;61064191;80875879;54588549933;95;5,46E+14;1,65E+14
5315001;Municipal District of Kilkenny City;;Cill Chainnigh;KILKENNY;Leinster;2ae19629-40d0-13a3-e055-000000000001;64930206;6580223;7847768648;96;7,85E+14;4,92E+14
4315007;Municipal District of Kanturk - Mallow;;Corcaigh;CORK;Munster;2ae19629-40bb-13a3-e055-000000000001;53856417;60393098;1,5E+11;97;1,5E+14;2,43E+14
4315001;Municipal District of Carrigaline;;Corcaigh;CORK;Munster;2ae19629-40b5-13a3-e055-000000000001;56836958;56159537;18202561591;98;1,82E+14;1,62E+14
5015005;Municipal District of Tuam;;Gaillimh;GALWAY;Connacht;2ae19629-40c6-13a3-e055-000000000001;53705125;7535428;78069255261;99;7,81E+14;1,73E+14
7015002;Municipal District of Baltinglass;;Cill Mhantáin;WICKLOW;Leinster;2ae19629-40aa-13a3-e055-000000000001;69695259;6907381;91622106165;100;9,16E+14;2,48E+14
