Jaar;LEEFTIJD;GESLACHT;vervoerwijze;vervoerwijzefilter;wegvak/kruispunt;wegbeheerder;wegnummer;HECTOMETER;STRAAT1;STRAAT2;STRAAT3;GEMEENTE;GEMEENTE 2013;PROVINCIE;type locatie;X_COORD;Y_COORD;latitude;longitude
2010;71;M;Personenauto;1;111122038;;;;Eikenlaan;Eikenhof;Emmabaan;Terneuzen;Terneuzen;Zeeland;W;55775;361086;5123044829;3966551403
2010;83;V;Personenauto;1;111250016;;;;Oosterweg;Oosterweg;RYKSWG;Goedereede;Goedereede;Zuid-Holland;K;55520;425415;5180848526;3944670673
2010;85;M;Personenauto;1;111250016;;;;Oosterweg;Oosterweg;RYKSWG;Goedereede;Goedereede;Zuid-Holland;K;55520;425415;5180848526;3944670673
2010;73;M;Personenauto;1;112227005;;;;Dreischorsedijk;Dreischorsedijk;Gaanderse'sweg;Schouwen-Duiveland;Schouwen-Duiveland;Zeeland;K;56322;413552;517020248;3959671803
2010;55;V;Voetganger;3;119131013;;;;Absdaalseweg;Absdaalseweg;Stellestraat;Hulst;Hulst;Zeeland;K;59564;365625;5127188888;4019567924
2010;18;M;Personenauto;1;121182001;;;7,6;Postweg;Akkerseweg;Smalleweg;Reimerswaal;Reimerswaal;Zeeland;W;60591;391341;515031619;4027411283
2010;41;M;Motor;4;121279013;;;;Dardanellenstraat;Dardanellenstraat;Malakkastraat;Rotterdam;Rotterdam;Zuid-Holland;K;60804;439557;5193648548;4017407267
2010;82;V;Personenauto;1;121279013;;;;Dardanellenstraat;Dardanellenstraat;Malakkastraat;Rotterdam;Rotterdam;Zuid-Holland;K;60804;439557;5193648548;4017407267
2010;84;M;Personenauto;1;121279013;;;;Dardanellenstraat;Dardanellenstraat;Malakkastraat;Rotterdam;Rotterdam;Zuid-Holland;K;60804;439557;5193648548;4017407267
2010;66;V;Fiets;2;128191002;;;;Gorishoeksedijk;Gorishoeksedijk;Schakelweg;Tholen;Tholen;Zeeland;W;64646;395818;51544061;4084648937
2010;68;M;Snorfiets;5;128194010;;;;Oudelandseweg;Provincialeweg;Stavenisseweg;Tholen;Tholen;Zeeland;K;64149;397143;515558883;4077142464
